Sample ID,Site,Collection Date,Depth (cm),SO42-,Cl- (mg/L)
DP,dam pool,5/26/17,0,110.5703,11.702
DP,dam pool,6/1/17,0,227.8977,7.8914
DP,dam pool,6/13/17,0,197.9919,NA
DP,dam pool,6/9/17,0,165.2637,NA
DP,dam pool,6/20/17,0,210.1061,NA
DP,dam pool,7/3/17,0,136.479,NA
DP,dam pool,7/7/17,0,355.0046,NA
DP,dam pool,7/13/17,0,128.6522,NA
DP,dam pool,8/25/17,0,525.4198,5.3037
DP,dam pool,9/5/17,0,279.4969,6.2874
DP,dam pool,9/29/17,0,997.5565,5.7025
DP,dam pool,10/6/17,0,740.064,NA
DP,dam pool,10/20/17,0,403.4068,6.8122
DP,dam pool,11/3/17,0,244.2091,NA
P5,dam pool,4/1/17,100,1408.68,3.8366
P5,dam pool,4/5/17,100,1230.59,6.7835
P5,dam pool,4/13/17,100,1285.8256,8.2026
P5,dam pool,4/19/17,100,2013.372,7.1152
P5,dam pool,4/26/17,100,1254.3865,15.6312
P5,dam pool,5/19/17,100,1115.475,4.7859
P5,dam pool,5/26/17,100,1106.7168,8.1227
P5,dam pool,6/1/17,100,1166.554,5.9559
P5,dam pool,6/13/17,100,998.9487,NA
P5,dam pool,6/9/17,100,1097.6481,NA
P5,dam pool,6/20/17,100,1221.4749,NA
P5,dam pool,7/3/17,100,1256.2519,NA
P5,dam pool,7/7/17,100,1456.6378,NA
P5,dam pool,7/13/17,100,1170.5108,NA
P5,dam pool,8/25/17,100,1135.3806,5.0832
P5,dam pool,9/5/17,100,1114.2771,5.7189
P5,dam pool,9/29/17,100,1266.9049,5.7513
P5,dam pool,10/6/17,100,1174.5733,NA
P5,dam pool,10/20/17,100,1174.7973,5.5067
P5,dam pool,11/3/17,100,1171.7942,NA
P6,dam pool,4/1/17,60,1287.64,3.8635
P6,dam pool,4/5/17,60,1391.8133,6.0149
P6,dam pool,4/13/17,60,1277.6347,6.5057
P6,dam pool,4/19/17,60,1971.1395,6.1734
P6,dam pool,4/26/17,60,1363.7729,5.8204
P6,dam pool,5/19/17,60,1025.5921,5.1684
P6,dam pool,5/26/17,60,1082.0721,7.1019
P6,dam pool,6/1/17,60,1088.9004,NA
P6,dam pool,6/13/17,60,1094.5105,NA
P6,dam pool,6/9/17,60,1115.2198,NA
P6,dam pool,6/20/17,60,1140.9617,NA
P6,dam pool,7/3/17,60,1241.0043,NA
P6,dam pool,7/7/17,60,1265.5399,NA
P6,dam pool,7/13/17,60,1157.3528,NA
P6,dam pool,8/25/17,60,1055.9056,5.2279
P6,dam pool,9/5/17,60,1092.1257,5.3381
P6,dam pool,9/29/17,60,1248.3867,5.2067
P6,dam pool,10/6/17,60,1170.3819,NA
P6,dam pool,10/20/17,60,1188.4447,5.1836
P6,dam pool,11/3/17,60,1196.8076,NA
P7,dam pool,4/1/17,30,1193.9767,3.7812
P7,dam pool,4/5/17,30,983.8766,5.8372
P7,dam pool,4/13/17,30,1134.6594,7.5606
P7,dam pool,4/19/17,30,905.8447,7.0316
P7,dam pool,4/26/17,30,865.4087,6.5882
P7,dam pool,5/19/17,30,945.9699,0.5815
P7,dam pool,5/26/17,30,950.6583,7.1852
P7,dam pool,6/1/17,30,1017.4194,47.3953
P7,dam pool,6/13/17,30,946.7783,NA
P7,dam pool,6/9/17,30,1047.179,NA
P7,dam pool,6/20/17,30,1061.4006,NA
P7,dam pool,7/3/17,30,731.4188,NA
P7,dam pool,7/7/17,30,875.5273,NA
P7,dam pool,7/13/17,30,880.5315,NA
P7,dam pool,8/25/17,30,687.2735,6.5683
P7,dam pool,9/5/17,30,767.98,4.5742
P7,dam pool,9/29/17,30,949.2277,5.9085
P7,dam pool,10/6/17,30,772.6434,NA
P7,dam pool,10/20/17,30,781.9692,6.9509
P7,dam pool,11/3/17,30,840.0953,NA
P8,dam pool,4/1/17,15,1608.05,2.0616
