Sample ID,Site,Collection Date,Depth (cm),Al (mg/L),Ca (mg/L),Fe (mg/L),K (mg/L),Mg (mg/L),Mn (mg/L),Na (mg/L)
DP,dam pool,4/5/17,0,0.5,36.61,0.5,3.669,15.95,1.964,10.56
DP,dam pool,7/3/17,0,0.5,59.16,14.02,5.212,31.41,8.195,7.113
DP,dam pool,6/13/17,0,0.5,58.28,23.11,6.179,30.58,9.154,9.059
DP,dam pool,6/20/17,0,0.5,50.78,9.276,5.329,26.15,7.036,7.747
DP,dam pool,4/1/17,0,0.5,61.73,15.02,3.826,30,7.329,6.28
DP,dam pool,4/13/17,0,0.5,44.46,0.5,3.852,19.96,2.562,7.474
DP,dam pool,4/19/17,0,0.5,48.21,2.528,4.046,28.44,6.012,8.002
DP,dam pool,3/27/17,0,0.5,81.56,13.05,4.721,37.98,8.808,6.783
DP,dam pool,4/26/17,0,0.5,215.2,79.23,8.338,110.2,24.03,10.04
DP,dam pool,5/19/17,0,0.5,27.92,0.5,3.769,12.13,1.124,7.475
DP,dam pool,5/26/17,0,0.5,36.42,0.5,3.661,16.53,2.209,7.006
DP,dam pool,6/1/17,0,0.5,52.62,17.64,4.117,27.11,7.372,6.915
DP,dam pool,6/9/17,0,0.5,48.26,10.68,3.836,23.24,6.886,7.045
DP,dam pool,7/13/17,0,0.5,36.81,2.183,4.148,17.69,3.66,5.611
DP,dam pool,7/7/17,0,0.5,49.02,6.776,5.974,25.25,8.081,7.486
DP,dam pool,8/25/17,0,0.5,125.7,46.81,6.452,60.77,15.73,6.791
DP,dam pool,9/5/17,0,0.5,75.14,6.091,8.419,37.02,7.534,10.99
DP,dam pool,10/6/17,0,0.5,195.6,84.74,7.978,98.48,25.9,8.224
DP,dam pool,9/29/17,0,0.5,191.8,77.83,7.469,100.5,26.28,8.256
P5,dam pool,7/3/17,100,0.5,272.1,134.7,7.71,121.3,33.11,11.57
P5,dam pool,6/13/17,100,0.5,263.5,131.1,8.125,119.7,32.26,12.58
P5,dam pool,6/20/17,100,0.5,262.6,125.1,8.106,122.7,31.73,12.34
P5,dam pool,4/26/17,100,0.5,265,133,7.098,120.1,36.42,14.6
P5,dam pool,5/19/17,100,0.5,268.1,147.4,6.298,125,31.22,9.837
P5,dam pool,5/26/17,100,0.5,281.6,150.3,6.543,130,32.58,9.907
P5,dam pool,6/1/17,100,0.5,277.3,122.4,6.997,122,34.92,10.82
P5,dam pool,6/9/17,100,0.5,287.6,90.25,7.256,130.5,35.64,11.04
P5,dam pool,7/13/17,100,0.5,246.9,121,7.993,116.5,30.33,11.55
P5,dam pool,7/7/17,100,0.5,236.5,116.4,7.839,109.7,28.33,10.44
P5,dam pool,8/25/17,100,0.5,264.5,128.6,6.201,120.6,33.39,9.513
P5,dam pool,9/5/17,100,0.5,266.8,45.38,10.86,119.9,29.24,17.24
P5,dam pool,10/6/17,100,0.5,296.8,152.8,5.582,137,30.62,8.256
P5,dam pool,9/29/17,100,0.5,259.5,134.2,5.974,125.5,29.11,8.354
P5,dam pool,10/20/17,100,0.5,277.4,138.2,6.672,127.1,33.31,9.692
P5,dam pool,11/3/17,100,0.5,283.7,127.2,6.527,134.6,41.78,8.035
P5 ,dam pool,4/1/17,100,0.5,264.6,82.25,7.39,115.5,29.84,12.7
P5 ,dam pool,4/5/17,100,0.5,281.8,124.8,7.161,129.1,33.73,16.6
P5 ,dam pool,4/13/17,100,0.5,264.9,164.5,7.928,125.8,37.03,12.03
P5 ,dam pool,4/19/17,100,0.5,253.8,155.4,7.83,119.7,35.28,11.79
P6,dam pool,7/3/17,60,0.5,268.6,157.4,8.431,122.6,34.77,11.82
P6,dam pool,6/13/17,60,0.5,254.9,140.2,8.89,119.6,33.71,12.63
P6,dam pool,6/20/17,60,0.5,255.6,122.8,8.832,121.5,32.56,12.35
P6,dam pool,4/1/17,60,0.5,268.4,89.24,7.798,119.6,33.88,13.28
