sample_name,Site,date,Ca_Mg,Na_K,Fe_Na,Mn_Na,logFeNa,logMnNa
OUT,outlet,6/14/17,1.52,2.247,0.117,0.638,-0.93,-0.195
OUT,outlet,6/14/17,1.51,2.2,0.02,0.606,-1.702,-0.218
OUT,outlet,10/22/17,1.35,2.371,0.428,1.388,-0.369,0.142
OUT,outlet,10/23/17,1.363,2.348,0.49,1.426,-0.31,0.154
OUT,outlet,10/24/17,1.358,2.168,0.556,1.353,-0.255,0.131
OUT,outlet,10/25/17,1.364,1.916,0.507,1.29,-0.295,0.111
OUT,outlet,10/26/17,1.377,2.035,0.429,1.336,-0.368,0.126
OUT,outlet,10/27/17,1.35,2.135,0.654,1.347,-0.185,0.129
OUT,outlet,10/28/17,1.339,2.138,0.523,1.394,-0.282,0.144
OUT,outlet,10/29/17,1.31,2.122,0.582,1.358,-0.235,0.133
OUT,outlet,10/30/17,1.337,2.213,0.577,1.379,-0.239,0.140
OUT,outlet,11/15/17,1.337,2.188,0.413,1.276,-0.384,0.106
OUT,outlet,11/15/17,1.344,2.118,0.332,1.107,-0.478,0.044
OUT,outlet,11/15/17,1.341,2.109,0.282,1.09,-0.55,0.037
OUT,outlet,11/15/17,1.345,2.137,0.324,1.079,-0.49,0.033
OUT,outlet,11/15/17,1.32,2.179,0.312,1.056,-0.505,0.024
OUT,outlet,11/15/17,1.318,2.178,0.309,1.053,-0.51,0.022
OUT,outlet,11/15/17,1.31,2.181,0.284,1.028,-0.546,0.012
OUT,outlet,11/15/17,1.314,2.174,0.304,1.044,-0.517,0.019
OUT,outlet,11/16/17,1.284,2.194,0.294,1.055,-0.531,0.023
OUT,outlet,11/16/17,1.349,2.186,0.293,1.065,-0.533,0.027
OUT,outlet,11/16/17,1.298,2.219,0.304,1.056,-0.517,0.024
OUT,outlet,11/16/17,1.309,2.148,0.309,1.083,-0.511,0.035
OUT,outlet,4/5/17,1.577,3.009,0.024,0.242,-1.62,-0.616
OUT,outlet,7/3/17,1.446,2.205,0.325,0.823,-0.488,-0.085
OUT,outlet,6/20/17,1.482,2.063,0.201,0.631,-0.697,-0.200
OUT,outlet,4/13/17,1.508,2.564,0.075,0.386,-1.123,-0.413
OUT,outlet,4/19/17,1.515,2.564,0.075,0.386,-1.123,-0.413
OUT,outlet,6/13/17,1.54,2.362,0.088,0.567,-1.056,-0.246
OUT,outlet,8/25/17,1.423,2.234,0.595,1.153,-0.226,0.062
OUT,outlet,9/5/17,1.459,2.069,0.204,0.51,-0.69,-0.292
OUT,outlet,9/29/17,1.287,2.278,0.706,1.413,-0.151,0.150
OUT,outlet,3/27/17,1.504,2.194,0.113,0.764,-0.948,-0.117
OUT,outlet,4/1/17,1.409,2.692,0.115,0.338,-0.939,-0.471
OUT,outlet,4/26/17,1.558,3.358,0.016,0.348,-1.803,-0.458
OUT,outlet,5/19/17,1.659,4.4,0.068,0.188,-1.167,-0.726
OUT,outlet,5/26/17,NA,NA,NA,NA,NA,#VALUE!
OUT,outlet,6/7/17,1.536,2.332,0.202,0.703,-0.694,-0.153
OUT,outlet,7/7/17,NA,NA,NA,NA,NA,#VALUE!
OUT,outlet,7/13/17,NA,NA,NA,NA,NA,#VALUE!
OUT,outlet,10/20/17,1.332,2.157,0.683,1.336,-0.166,0.126
OUT,outlet,11/3/17,1.335,1.729,0.366,1.09,-0.437,0.037
LC,limestone channel,6/13/17,1.696,2.006,0.019,0.02,-1.713,-1.699
LC,limestone channel,6/20/17,1.652,1.706,0.019,0.02,-1.713,-1.699
LC,limestone channel,7/3/17,1.668,1.706,0.022,0.022,-1.667,-1.658
LC,limestone channel,7/13/17,1.672,1.294,0.029,0.03,-1.534,-1.523
LC,limestone channel,7/7/17,1.642,1.703,0.024,0.024,-1.627,-1.620
LC,limestone channel,8/25/17,1.606,1.524,0.026,0.027,-1.583,-1.569
LC,limestone channel,9/5/17,1.662,1.55,0.014,0.014,-1.854,-1.854
LC,limestone channel,3/27/17,1.667,1.869,0.025,0.399,-1.6,-0.399
LC,limestone channel,4/1/17,1.701,2.095,0.025,0.178,-1.6,-0.750
LC,limestone channel,4/13/17,1.627,1.866,0.019,0.019,-1.718,-1.721
LC,limestone channel,4/26/17,1.7,2.97,0.015,0.015,-1.817,-1.824
LC,limestone channel,4/5/17,1.687,2.839,0.016,0.084,-1.793,-1.076
LC,limestone channel,5/19/17,1.761,3.541,0.016,0.016,-1.803,-1.796
LC,limestone channel,5/19/17,1.761,2.014,0.028,0.028,-1.558,-1.553
LC,limestone channel,5/26/17,1.723,1.957,0.028,0.029,-1.549,-1.538
LC,limestone channel,11/3/17,1.586,1.015,0.037,0.038,-1.429,-1.420
