sample_name,Site,Depth_cm,Date,pH,EC
P7,DP,30,5/19/17,6.13,1466
P8,DP,15,5/19/17,3.37,1934
DP,DP,0,5/19/17,6.09,278
P5,DP,100,5/26/17,5.73,1738
P6,DP,60,5/26/17,5.73,1876
P7,DP,30,5/26/17,5.97,1744
P8,DP,15,5/26/17,5.76,1856
DP,DP,0,5/26/17,5.52,268
P5,DP,100,6/1/17,5.89,1950
P6,DP,60,6/1/17,5.68,1852
P7,DP,30,6/1/17,5.81,844
P8,DP,15,6/1/17,5.21,598
DP,DP,0,6/1/17,6.31,286
P5,DP,100,6/9/17,5.41,1850
P6,DP,60,6/9/17,5.87,1826
P7,DP,30,6/9/17,6.17,857
P8,DP,15,6/9/17,3.21,874
DP,DP,0,6/9/17,6.27,452
P5,DP,100,6/13/17,6.57,1814
P6,DP,60,6/13/17,6.46,1858
P7,DP,30,6/13/17,6.57,1260
P8,DP,15,6/13/17,6.48,1362
DP,DP,0,6/13/17,6.81,284
P5,DP,100,6/20/17,6.13,1460
P6,DP,60,6/20/17,6.1,1818
P7,DP,30,6/20/17,6.14,1488
P8,DP,15,6/20/17,6.03,602
DP,DP,0,6/20/17,6.46,502
P5,DP,100,7/3/17,5.93,1306
P6,DP,60,7/3/17,5.79,1776
P7,DP,30,7/3/17,6.16,1520
P8,DP,15,7/3/17,3.94,1420
DP,DP,0,7/3/17,6.42,534
P5,DP,100,7/7/17,6.12,1758
P6,DP,60,7/7/17,6.22,1660
P7,DP,30,7/7/17,6.23,1644
P8,DP,15,7/7/17,5.97,1086
DP,DP,0,7/7/17,6.39,382
P5,DP,100,7/13/17,5.13,1923
P6,DP,60,7/13/17,6.37,1932
P7,DP,30,7/13/17,6.23,1610
P8,DP,15,7/13/17,6.25,1951
DP,DP,0,7/13/17,6.73,396
P5,DP,100,8/25/17,6.39,1134
P6,DP,60,8/25/17,6.25,1119
P7,DP,30,8/25/17,6.69,706
P8,DP,15,8/25/17,3.63,780
DP,DP,0,8/25/17,6.1,418
P5,DP,100,9/5/17,5.72,1370
P6,DP,60,9/5/17,5.89,1236
P7,DP,30,9/5/17,6.48,1054
P8,DP,15,9/5/17,3.14,1068
DP,DP,0,9/5/17,6.56,506
P5,DP,100,9/29/17,6.08,1790
P6,DP,60,9/29/17,6.06,1336
P7,DP,30,9/29/17,6.26,1444
P8,DP,15,9/29/17,3.19,1738
DP,DP,0,9/29/17,5.97,1414
P5,DP,100,10/6/17,6.05,1760
P6,DP,60,10/6/17,6.09,1896
P7,DP,30,10/6/17,6.41,1398
P8,DP,15,10/6/17,3.71,1858
DP,DP,0,10/6/17,6.1,1316
P5,DP,100,10/20/17,6,1940
P6,DP,60,10/20/17,5.99,1948
P7,DP,30,10/20/17,6.39,1392
P8,DP,15,10/20/17,3.89,1877
DP,DP,0,10/20/17,5.95,720
P5,DP,100,11/3/17,6.19,1802
P6,DP,60,11/3/17,6.21,1608
P7,DP,30,11/3/17,6.41,1412
P8,DP,15,11/3/17,4.7,1854
DP,DP,0,11/3/17,6.66,522
