"","sample_name","date_and_time","Q_m3s","Al_mgL","Ca_mgL","Fe_mgL","K_mgL","Mg_mgL","Mn_mgL","Na_mgL","SO42_mgL","pH","EC","Al_mmolL","Ca_mmolL","Fe_mmolL","K_mmolL","Mg_mmolL","Mn_mmolL","Na_mmolL","SO42_mmolL","H_mgL","H_umolL","logQ","logAl","logCa","logFe","logK","logMg","logMn","logNa","logSO42","logH","logEC","H_molL"
"39","OUT 12 7-13-17 22:53","7/13/17 22:53",0.004812,1.41,157.9,5.012,8.035,63.72,13.49,9.131,669.9998,3.36,1211,0.0522570602623972,3.93962075848303,0.089748410779837,0.205503977083813,2.62168278132072,0.245549528559467,0.397172683775555,6.97480533000208,0.000436515832240166,436.515832240166,-2.31767438133219,-1.28185502529621,0.595454417149105,-1.04697323295196,-0.687179768878712,0.418580141718533,-0.609860895351227,-0.401020628488571,0.84353209075772,2.64,3.08314414314305,0.000436515832240166
"40","Out 1 14:46, 6/1/17","6/1/17 14:46",0.011532,0.5,230.7,0.5,6.269,89.15,11.37,8.79,847.1476,6.23,1454,0.0185308724334742,5.7559880239521,0.00895335303071,0.160336581498248,3.6679695535898,0.206960573737668,0.382340147890387,8.81894232771185,5.88843655355588e-07,0.588843655355588,-1.93809536628383,-1.73210413361557,0.760119881661904,-2.04801429093805,-0.794967380139117,0.564425722100812,-0.684112380335397,-0.417550096195507,0.94541650250346,-0.23,3.16256440652302,5.88843655355588e-07
"41","Out 2 14:46, 6/2/17","6/2/17 14:46",0.01106,0.5,252.8,0.5,6.655,96.66,13.02,9.14,871.7638,6.18,1514,0.0185308724334742,6.30738522954092,0.00895335303071,0.170208956750812,3.97695947335939,0.236994430084823,0.397564158329709,9.07520091609411,6.60693448007596e-07,0.660693448007596,-1.95624487303132,-1.73210413361557,0.799849356751158,-2.04801429093805,-0.769017590167382,0.599551165392301,-0.625261860790958,-0.400592775535448,0.957856248670696,-0.18,3.18012587516405,6.60693448007596e-07
"42","Out 3 14:46, 6/3/17","6/3/17 14:46",0.010655,0.5,261,0.5,6.59,99.6,13.23,9.181,883.6022,6.15,1512,0.0185308724334742,6.51197604790419,0.00895335303071,0.168546510140924,4.09792223822259,0.240816920892643,0.399347542409743,9.19844055798459,7.07945784384137e-07,0.707945784384137,-1.97244654594978,-1.73210413361557,0.813712794479092,-2.04801429093805,-0.773280235384066,0.612563713013138,-0.61831300083563,-0.398648983877488,0.963714206207761,-0.15,3.17955179116519,7.07945784384137e-07
"43","Out 4 14:46, 6/4/17","6/4/17 14:46",0.009543,0.5,262.8,0.5,6.655,102.8,13.68,9.193,948.3341,6.42,1576,0.0185308724334742,6.55688622754491,0.00895335303071,0.170208956750812,4.22958239045464,0.249007972623685,0.399869508481949,9.87231001457423,3.80189396320561e-07,0.380189396320561,-2.02031507617297,-1.73210413361557,0.816697648028554,-2.04801429093805,-0.769017590167382,0.626297489248696,-0.603786747639034,-0.398081711152571,0.994418784807572,-0.42,3.19755621315354,3.80189396320561e-07
"44","Out 5 14:46, 6/5/17","6/5/17 14:46",0.012525,0.5,249.1,0.5,6.409,95.37,12.29,8.608,840.3724,3.82,1512,0.0185308724334742,6.21506986027944,0.00895335303071,0.163917235734929,3.92388397449085,0.223706723943354,0.37442366246194,8.74841140953571,0.000151356124843621,151.356124843621,-1.90222226546072,-1.73210413361557,0.793446014677317,-2.04801429093805,-0.785375378394009,0.593716157223874,-0.650320962136677,-0.426636712946965,0.941929198312775,2.18,3.17955179116519,0.000151356124843621
"45","Out 6 14:46, 6/6/17","6/6/17 14:46",0.011985,0.5,248.4,0.5,6.379,95.99,11.65,8.554,852.4732,6.09,1454,0.0185308724334742,6.19760479041916,0.00895335303071,0.163149952684212,3.94939312898581,0.212057228148094,0.372074815137016,8.87438267749323,8.128305161641e-07,0.8128305161641,-1.92136196163033,-1.73210413361557,0.792223878645353,-2.04801429093805,-0.787413047827615,0.596530366264114,-0.673546919661094,-0.429369725348487,0.948138152253008,-0.0899999999999999,3.16256440652302,8.128305161641e-07
"46","Out 1 8-25-17 10:19 am","8/25/17 10:19",0.004551,2.559,239.5,4.618,7.021,102.5,19.47,8.416,NA,3.16,1725,0.0948410051145208,5.97554890219561,0.0826931685916376,0.179569809969564,4.21723925118288,0.354399504896429,0.366072205306655,NA,0.000691830970918936,691.830970918936,-2.34189316449361,-1.0230038520644,0.776377804891393,-1.08253036669292,-0.745766676943401,0.625028239981212,-0.4505068935031,-0.436433244459615,NA,2.84,3.23678909940929,0.000691830970918936
"47","Out 2 8-28-17 0:19 am","8/28/17 10:19",0.002068,2.543,237,4.975,6.303,102.5,21.8,8.105,NA,3.1,1819,0.0942480171966496,5.91317365269461,0.0890858626555645,0.161206168955728,4.21723925118288,0.396810950526048,0.352544584602001,NA,0.000794328234724281,794.328234724281,-2.6844494655781,-1.02572777777588,0.771820633150915,-1.05019121019233,-0.792618342852461,0.625028239981212,-0.401416351418526,-0.452785952084745,NA,2.9,3.25983269906348,0.000794328234724281
"48","Out 1 9-12-17 4:41pm","9/12/17 16:41",0.000138,2.838,230.3,7.428,5.709,108.5,23.67,8.003,1192.4176,2.87,1907,0.105181231932399,5.74600798403194,0.133011012624228,0.146013964551523,4.46410203661798,0.430849321052823,0.348107872988256,12.4132583801791,0.00134896288259165,1348.96288259165,-3.86012091359876,-0.97806174683013,0.759366225105042,-0.876112400206331,-0.835605606971393,0.649734112773987,-0.365674587094049,-0.45828615437532,1.093885795261,3.13,3.28035069304601,0.00134896288259165
